Gene.Symbol,Essentiality_Rep1,Essentiality_Rep2
DCTN6,-0.982989643,-1.038462878
DDB1,-1.298707441,-1.040712471
DDOST,-1.71411799,-1.628241657
DDX10,-1.608038583,-1.227795387
DDX11,-1.818068736,-1.616197341
DDX20,-1.039451697,-0.943744225
DDX21,-1.124425248,-0.971785598
DDX24,-0.987243679,-0.952914429
DDX28,-1.280458065,-0.782446406
DDX39B,-1.194912746,-0.972991234
DDX3X,-1.597063647,-1.603389829
DDX46,-2.454343474,-1.905399789
DDX49,-2.004817791,-1.728229326
DDX51,-2.315193734,-2.097603212
DDX52,-1.114822186,-1.156882845
DDX54,-1.254127819,-1.167985447
DDX55,-2.91467681,-2.601343384
DDX56,-1.573829962,-1.166490469
DDX59,-1.667877627,-1.445117958
DDX6,-1.633721161,-1.418295163
DGCR8,-1.397533521,-1.11563784
DHDDS,-2.085084227,-1.915197429
DHFR,-1.160766247,-1.120293956
DHODH,-2.067113854,-1.930345898
DHPS,-2.471005066,-1.481350892
DHX15,-2.184823474,-2.448133182
DHX33,-2.516294784,-2.081262958
DHX37,-2.054437513,-1.698752786
DHX8,-0.989196754,-0.771357178
DHX9,-1.739232711,-1.677468765
DIDO1,-1.04117848,-0.942760053
DIEXF,-0.926456439,-0.873870024
DIS3,-1.771598602,-1.329547686
DKC1,-2.641942792,-2.448842115
DLD,-1.880932954,-1.447588009
DLST,-1.80248559,-1.681549952
DMAP1,-2.109383469,-1.651061757
DNAJA3,-1.627656365,-1.275986397
DNAJC11,-1.132305505,-0.831078906
DNAJC17,-0.979002482,-1.063957099
DNAJC9,-2.665779995,-2.035627139
DNLZ,-1.658471932,-1.051829742
DNM2,-1.630429967,-1.317272506
DOHH,-1.549808762,-1.201816211
DOLK,-2.216594384,-1.426854956
DOT1L,-2.754336291,-2.224537326
DPAGT1,-2.248499723,-1.988600956
DPH1,-0.962296602,-0.78151929
DPH3,-1.355808806,-1.074212267
DPH5,-1.465803899,-1.086712345
DPY30,-2.210368441,-1.54699412
DR1,-1.670202073,-1.316201257
DRAP1,-3.195316706,-1.82129578
DRD5,-1.500561002,-1.374640885
DSCC1,-1.163655901,-0.956331458
DTL,-1.464318031,-1.355237104
DTYMK,-1.503889897,-1.414866315
DUSP10,-0.774663354,-0.833352106
DUT,-2.126035082,-2.165106513
DYNC1H1,-0.872979683,-1.081061544
DYNC1I2,-1.87088571,-1.73608308
DYNLL1,-0.9647597,-0.945016335
DYNLRB1,-1.270474549,-1.105679628
DYRK1A,-1.003707427,-0.794916438
E4F1,-0.996652871,-0.798813488
EARS2,-1.500316557,-0.806257721
ECD,-1.536914542,-1.392972911
ECSIT,-1.325485387,-0.872348886
EED,-0.910353685,-0.82945288
EEF1A1,-1.952649035,-1.908818884
EEF1G,-1.829114367,-1.348811027
EEF2,-1.933792632,-1.80029182
EEFSEC,-2.516669672,-1.958689019
EFTUD1,-1.528157675,-1.335971629
EFTUD2,-1.103517294,-1.07582253
EIF1,-0.781779882,-0.753308991
EIF1AD,-1.738436019,-1.418776911
EIF1AX,-1.314262737,-1.195850346
EIF2AK4,-1.085931588,-1.262852046
EIF2B1,-2.072385895,-1.702036747
EIF2B2,-1.721700988,-1.453276018
EIF2B3,-1.15742552,-1.019164801
EIF2B5,-1.861767175,-1.362878172
EIF2S1,-1.625114696,-1.68694686
EIF2S2,-1.739633459,-1.318066059
EIF2S3,-1.284716511,-1.362378921
EIF3A,-1.839586379,-1.607873057
EIF3B,-1.652556188,-1.320588534
EIF3D,-1.813184935,-1.404011406
EIF3E,-1.726834028,-1.217410066
EIF3F,-2.310771458,-1.915022894
EIF3G,-2.211409862,-1.845699563
EIF3I,-1.5723381,-1.145174062
EIF3J,-1.382569438,-0.86846262
EIF3M,-1.292412549,-1.100832075
EIF4A1,-2.401783581,-1.805303829
EIF4A3,-1.122963769,-0.937526908
EIF4E,-0.974863612,-0.947610698
EIF5,-1.277839047,-1.024116333
EIF5A,-1.774324467,-1.249546083
EIF5B,-1.982758238,-1.765727251
EIF6,-1.928891247,-1.406655006
ELAC2,-1.287451736,-1.034260667
ELL,-2.01628479,-1.436848109
ELOF1,-1.302302767,-1.173140272
ELP2,-1.397069628,-1.204013337
ELP3,-1.891648218,-1.669330026
ELP4,-2.110270199,-1.757340853
ELP5,-3.311262703,-2.865867707
ELP6,-1.583960586,-1.407815321
EMC1,-1.125168255,-0.910206273
EMC7,-1.496688162,-1.12793765
ENO1,-2.600126879,-2.321869554
EP300,-0.937563625,-1.010909943
ERAL1,-1.893090604,-0.803444733
ERCC2,-2.193388439,-1.410245608
ERCC3,-1.577545015,-1.036279521
ERH,-2.338679608,-1.925240987
ESPL1,-1.942529097,-1.809821635
ETF1,-1.087717633,-1.215648447
ETV5,-1.861593378,-1.741965182
EWSR1,-0.865743514,-0.829488457
EXOC4,-1.529312277,-1.591947224
EXOSC10,-0.991912233,-0.874402537
EXOSC2,-1.697165607,-1.432344718
EXOSC3,-1.332186256,-1.236673518
EXOSC4,-2.605178025,-2.523723793
EXOSC5,-2.056548429,-1.464688853
EXOSC6,-1.46359427,-1.166081941
EXOSC7,-2.634976219,-2.34001335
EXOSC8,-2.498740934,-1.941743665
EXOSC9,-0.922152067,-0.997682705
FAM122A,-1.137524279,-0.818271971
FAM50A,-0.973671635,-0.897889178
FAM96B,-2.831660043,-2.455419182
FAM98B,-0.952918352,-0.910772073
FARS2,-2.489494936,-1.751282273
FARSA,-1.785441119,-1.282264601
FARSB,-1.647839545,-1.679563982
FASTKD5,-1.568996783,-0.867402862
FAU,-1.345999278,-1.334874988
FBL,-2.498228563,-2.077892371
FBXO11,-1.052101135,-0.849545695
FBXW11,-2.015842281,-1.405145896
FBXW7,-0.76620688,-0.784921138
FCF1,-1.170560933,-1.065903445
FDX1,-0.968623481,-0.845203553
FDX1L,-1.534086357,-1.041676713
FDXR,-1.849954618,-1.393712926
FECH,-1.140518653,-0.988342159
FEN1,-2.349312504,-1.349022457
FH,-1.240380592,-1.002974797
FIP1L1,-0.856455712,-0.785153003
FLAD1,-1.365894044,-0.751855905
FLI1,-1.108222892,-1.030813765
FNTB,-1.15705545,-0.80924558
FPGS,-1.213502923,-0.911119235
FTSJ2,-2.361347367,-1.462584128
FTSJ3,-2.032538535,-2.402876563
FUS,-1.269171436,-1.110896207
FXN,-1.928953832,-1.664177394
G6PD,-1.728505259,-1.45351316
GABPA,-1.126080187,-0.794221135
GAK,-1.249377135,-0.927598059
GALE,-1.12689491,-1.089622482
GAPDH,-1.782577091,-1.524501384
GARS,-1.260041811,-1.276909558
GART,-1.495660923,-1.061096764
GCLC,-1.15632294,-0.836980304
GCSH,-1.596975569,-1.250682594
GEMIN4,-1.141279621,-0.891952585
GEMIN5,-2.110000246,-1.741118892
GEMIN6,-1.071100482,-0.898438395
GEMIN7,-1.584296839,-1.200151763
GEMIN8,-1.778637339,-1.480259081
GFER,-1.693027142,-1.164795735
GFI1,-2.265511696,-1.399009493
GFPT1,-2.412686594,-2.093517327
GGPS1,-1.205306535,-0.980338952
GINS2,-2.122856688,-1.79313178
GINS3,-1.886517207,-1.635222188
GLE1,-0.922536849,-0.898700038
GLRX5,-2.60261667,-2.266228953
GLS,-1.425304733,-1.554049216
GMPPB,-3.194550068,-2.659511367
GMPS,-1.861561801,-1.691005398
GNB1L,-1.92526128,-2.072760593
GNB2L1,-2.053073256,-1.961266241
GNL2,-0.96094683,-1.059109268
GNL3,-1.801907204,-1.800746097
GNL3L,-1.165233056,-0.828784004
GOSR2,-1.453168421,-1.03034104
GOT2,-1.087983535,-0.898302196
GPKOW,-1.690192286,-1.270434357
GPN1,-2.411469032,-1.921261998
GPN2,-2.584482916,-1.934475199
GPN3,-3.754659478,-2.527941484
GPS1,-1.821026688,-1.673894943
GPS2,-0.799693813,-0.75193908
GPX4,-2.291592201,-1.783492604
GRPEL1,-2.462228474,-2.253017424
GRWD1,-1.151678517,-0.937391229
GSE1,-0.786426901,-0.79173894
GTF2A1,-1.189575377,-1.028540476
GTF2A2,-1.59165493,-1.557070838
GTF2B,-1.212598728,-1.098844225
GTF2E2,-1.014991769,-0.974240421
GTF2F2,-1.645494407,-1.38705493
GTF2H1,-1.373561249,-1.183795772
GTF2H3,-1.06845621,-0.900994903
GTF2H4,-0.908752425,-0.928097711
GTF2H5,-0.865187684,-0.850567489
GTF3C1,-0.970589908,-0.953960123
GTF3C3,-1.59160465,-1.435418357
GTF3C4,-1.527347015,-1.188192695
GTF3C5,-1.834986381,-1.182203324
GTPBP10,-2.279978695,-1.254488552
GTPBP4,-1.017225275,-0.935701087
GTPBP8,-2.099444895,-1.160546085
GUK1,-2.087586349,-1.415004969
HARS,-1.050925585,-0.885881326
HARS2,-1.819237911,-1.443309356
HAUS1,-1.616247574,-1.382121381
HAUS3,-1.576018091,-1.43620297
HAUS4,-1.035766725,-1.033144128
HAUS5,-0.949512762,-1.095709299
HAUS6,-1.112495203,-0.853094057
HAUS8,-1.472055985,-1.114121546
HCFC1,-1.035585499,-1.07012985
HDAC3,-3.024226704,-2.593185804
HEATR1,-1.354858372,-1.28897954
HGS,-2.410018421,-2.008681736
HINFP,-1.739814163,-1.353265401
HIRA,-1.446832221,-0.804994859
HMBS,-1.969529881,-0.940394164
HMGCR,-1.371763165,-1.307452855
HMGCS1,-2.497172692,-2.15511362
HNRNPK,-2.017870782,-2.010063592
HNRNPL,-1.219361242,-1.058100649
HNRNPU,-2.320884697,-1.780374876
HSCB,-1.878244892,-1.4397272
HSD17B10,-1.687354868,-1.337216185
HSPA5,-2.391355291,-2.050479929
HSPA8,-1.929481043,-1.46987282
HSPA9,-2.148673562,-1.657968445
HTATSF1,-1.634653175,-1.147134289
HUS1,-2.344952842,-1.652125007
HUWE1,-1.239070785,-1.158398974
HYOU1,-1.55578652,-1.324208859
HYPK,-1.314915531,-1.093641544
IARS,-1.600433714,-1.539277557
IBA57,-2.063790944,-1.628339609
IDI1,-1.091820032,-0.977227701
IER3IP1,-1.191424373,-0.833632533
IGBP1,-1.045913148,-0.779096198
IKBKAP,-1.618939723,-1.430669609
IKZF1,-1.676906062,-1.112561587
ILF2,-2.286255704,-2.15869896
ILF3,-1.714637862,-1.747968864
IMP3,-3.277911665,-2.515074003
IMP4,-1.576741796,-1.37116182
IMPDH2,-2.74514964,-2.113001418
INCENP,-1.430871921,-1.300481247
INO80,-1.732708036,-1.177137099
INTS1,-1.002141111,-0.903164335
INTS10,-1.328933679,-1.098119136
INTS2,-1.361304105,-1.030275536
INTS3,-1.242793671,-1.110006591
INTS4,-0.950329039,-0.934597117
INTS5,-1.148020097,-1.000420236
INTS8,-1.812793074,-1.763640716
INTS9,-2.116317017,-1.77777466
IPO11,-1.250598978,-0.861922073
IPO13,-1.910864764,-1.365420844
IPO7,-1.065760695,-1.022987793
IPPK,-1.232364948,-1.097910481
IRF2BP2,-2.348922965,-1.967278586
